team1,team2,score1,score2,date
Marshall,Middle Tenn.,65,74,2022-02-24
FIU,Charlotte,55,64,2022-02-24
Mount St. Marys,Sacred Heart,65,77,2022-02-24
Sam Houston,SFA,67,69,2022-02-24
Buffalo,NIU,79,68,2022-02-24
DePaul,Georgetown,68,65,2022-02-24
UT Martin,Southeast Mo. St.,69,76,2022-02-24
UTRGV,Tarleton St.,62,75,2022-02-24
Louisiana Tech,Rice,83,79,2022-02-24
UIW,Houston Baptist,68,82,2022-02-24
Green Bay,UIC,77,81,2022-02-24
South Dakota,Kansas City,63,72,2022-02-24
Lamar University,Abilene Christian,42,77,2022-02-24
Denver,St. Thomas (MN),91,80,2022-02-24
South Dakota St.,Oral Roberts,106,102,2022-02-24
Southern Miss.,North Texas,61,85,2022-02-24
Milwaukee,IUPUI,66,54,2022-02-24
UAB,UTSA,68,56,2022-02-24
Idaho St.,Northern Ariz.,70,66,2022-02-24
Eastern Wash.,Northern Colo.,85,76,2022-02-24
Seattle U,Utah Valley,52,67,2022-02-24
A&M-Corpus Christi,McNeese,65,53,2022-02-24
Morehead St.,Eastern Ill.,82,46,2022-02-24
Austin Peay,SIUE,68,64,2022-02-24
Nicholls,Northwestern St.,80,62,2022-02-24
Tennessee St.,Tennessee Tech,92,56,2022-02-24
New Orleans,Southeastern La.,79,84,2022-02-24
Arizona St.,Colorado,82,65,2022-02-24
Montana,Southern Utah,74,82,2022-02-24
Gonzaga,San Francisco,89,73,2022-02-24
California Baptist,Dixie St.,71,61,2022-02-24
Ohio St.,Illinois,86,83,2022-02-24
Belmont,Murray St.,43,76,2022-02-24
UC Santa Barbara,UC Davis,76,69,2022-02-24
UCLA,Oregon,63,68,2022-02-24
Santa Clara,Pepperdine,89,73,2022-02-24
LMU (CA),BYU,59,79,2022-02-24
Portland,Pacific,75,69,2022-02-24
CSUN,UC Riverside,57,79,2022-02-24
Saint Marys (CA),San Diego,60,46,2022-02-24
Weber St.,Portland St.,75,81,2022-02-24
Idaho,Sacramento St.,51,83,2022-02-24
UC San Diego,Long Beach St.,87,103,2022-02-24
UC Irvine,Cal St. Fullerton,64,66,2022-02-24
Southern California,Oregon St.,94,91,2022-02-24
Arizona,Utah,97,77,2022-02-24
Cal Poly,Hawaii,54,63,2022-02-25
Akron,Ohio,91,83,2022-02-25
Manhattan,Marist,56,74,2022-02-25
Harvard,Princeton,67,74,2022-02-25
ULM,Ga. Southern,75,81,2022-02-25
Saint Peters,Monmouth,70,65,2022-02-25
Saint Louis,Richmond,66,68,2022-02-25
Niagara,Rider,68,70,2022-02-25
Canisius,Iona,65,72,2022-02-25
Northwestern,Penn St.,60,67,2022-02-25
Louisiana,Georgia St.,58,65,2022-02-25
Coastal Carolina,Little Rock,68,55,2022-02-25
UT Arlington,South Alabama,52,62,2022-02-25
App State,Arkansas St.,60,62,2022-02-25
Iowa,Nebraska,88,78,2022-02-25
Texas St.,Troy,66,61,2022-02-25
San Jose St.,San Diego St.,52,77,2022-02-25
Purdue,Michigan St.,65,68,2022-02-26
Binghamton,New Hampshire,62,66,2022-02-26
Florida,Georgia,84,72,2022-02-26
Oklahoma St.,Oklahoma,62,66,2022-02-26
Miami (OH),Toledo,73,88,2022-02-26
Elon,Northeastern,67,54,2022-02-26
Duquesne,Rhode Island,54,70,2022-02-26
Bellarmine,Eastern Ky.,58,72,2022-02-26
Furman,The Citadel,94,59,2022-02-26
Mount St. Marys,Central Conn. St.,65,46,2022-02-26
Kennesaw St.,Liberty,93,100,2022-02-26
Purdue Fort Wayne,Detroit Mercy,81,78,2022-02-26
North Florida,Stetson,74,69,2022-02-26
Jacksonville,FGCU,69,76,2022-02-26
Maine,UMBC,79,93,2022-02-26
Vanderbilt,Mississippi St.,69,74,2022-02-26
Butler,Marquette,56,64,2022-02-26
Navy,Colgate,69,74,2022-02-26
Merrimack,St. Francis Brooklyn,72,52,2022-02-26
Yale,Cornell,65,71,2022-02-26
Texas,West Virginia,82,81,2022-02-26
North Carolina,NC State,84,74,2022-02-26
Saint Francis (PA),Sacred Heart,68,80,2022-02-26
UMass Lowell,Vermont,61,62,2022-02-26
Hampton,High Point,77,88,2022-02-26
Dayton,La Salle,60,62,2022-02-26
Boston U.,Bucknell,78,89,2022-02-26
Lehigh,Lafayette,78,58,2022-02-26
Loyola Maryland,American,55,65,2022-02-26
North Ala.,Jacksonville St.,52,69,2022-02-26
NJIT,Hartford,62,83,2022-02-26
Fairleigh Dickinson,LIU,77,84,2022-02-26
Kentucky,Arkansas,73,75,2022-02-26
Iowa St.,Kansas St.,74,73,2022-02-26
Penn,Dartmouth,70,84,2022-02-26
North Dakota St.,North Dakota,79,53,2022-02-26
Central Ark.,Lipscomb,66,81,2022-02-26
William & Mary,Hofstra,67,83,2022-02-26
Army West Point,Holy Cross,66,58,2022-02-26
NIU,Buffalo,60,70,2022-02-26
Fordham,Davidson,45,66,2022-02-26
New Mexico St.,Chicago St.,59,61,2022-02-26
Clemson,Boston College,70,60,2022-02-26
Virginia Tech,Miami (FL),71,70,2022-02-26
Cleveland St.,Oakland,57,65,2022-02-26
Denver,Western Ill.,83,77,2022-02-26
Texas A&M,Ole Miss,76,66,2022-02-26
Eastern Mich.,Ball St.,64,75,2022-02-26
Seton Hall,Xavier,82,66,2022-02-26
Auburn,Tennessee,62,67,2022-02-26
Gardner-Webb,USC Upstate,70,72,2022-02-26
Air Force,New Mexico,65,69,2022-02-26
Louisiana Tech,North Texas,49,56,2022-02-26
Indiana St.,Illinois St.,66,86,2022-02-26
Charleston So.,Winthrop,86,92,2022-02-26
Florida St.,Virginia,64,63,2022-02-26
UNCW,Delaware,69,62,2022-02-26
Fla. Atlantic,Charlotte,74,69,2022-02-26
Southern Ill.,Drake,60,62,2022-02-26
California Baptist,Utah Valley,54,63,2022-02-26
Cal St. Fullerton,UC San Diego,76,81,2022-02-26
Coppin St.,UMES,50,70,2022-02-26
Tulsa,East Carolina,59,64,2022-02-26
Towson,James Madison,95,59,2022-02-26
Col. of Charleston,Drexel,79,80,2022-02-26
New Orleans,Northwestern St.,77,87,2022-02-26
Weber St.,Northern Ariz.,73,49,2022-02-26
Samford,Chattanooga,57,70,2022-02-26
UCLA,Oregon St.,94,55,2022-02-26
Wagner,Bryant,70,78,2022-02-26
N.C. Central,Howard,67,77,2022-02-26
Longwood,Campbell,60,55,2022-02-26
Morgan St.,Delaware St.,76,69,2022-02-26
Morehead St.,SIUE,70,77,2022-02-26
Presbyterian,UNC Asheville,96,98,2022-02-26
Austin Peay,Eastern Ill.,64,52,2022-02-26
VCU,Massachusetts,77,62,2022-02-26
Green Bay,IUPUI,67,41,2022-02-26
Missouri St.,Evansville,88,79,2022-02-26
Portland,Santa Clara,89,102,2022-02-26
Alabama St.,Alabama A&M,65,80,2022-02-26
Western Mich.,Bowling Green,78,67,2022-02-26
Abilene Christian,SFA,71,73,2022-02-26
Radford,N.C. A&T,62,53,2022-02-26
Georgia Tech,Notre Dame,56,90,2022-02-26
Murray St.,Southeast Mo. St.,70,68,2022-02-26
Nicholls,Southeastern La.,81,83,2022-02-26
UIW,McNeese,69,67,2022-02-26
San Francisco,San Diego,78,62,2022-02-26
Wisconsin,Rutgers,66,61,2022-02-26
Loyola Chicago,UNI,96,102,2022-02-26
St. Bonaventure,Saint Josephs,54,52,2022-02-26
Duke,Syracuse,97,72,2022-02-26
South Carolina,Alabama,71,90,2022-02-26
South Carolina St.,Norfolk St.,59,63,2022-02-26
Columbia,Brown,74,81,2022-02-26
Texas Tech,TCU,66,69,2022-02-26
Tennessee St.,Belmont,67,87,2022-02-26
Washington St.,Washington,70,78,2022-02-26
Bethune-Cookman,Southern U.,87,84,2022-02-26
Florida A&M,Grambling,79,73,2022-02-26
Alcorn,Prairie View,72,69,2022-02-26
Albany (NY),Stony Brook,50,66,2022-02-26
Mississippi Val.,Ark.-Pine Bluff,79,93,2022-02-26
South Fla.,Cincinnati,56,54,2022-02-26
VMI,Western Caro.,73,82,2022-02-26
Western Ky.,Middle Tenn.,52,69,2022-02-26
FIU,Old Dominion,63,83,2022-02-26
Louisville,Wake Forest,77,99,2022-02-26
Robert Morris,Wright St.,61,71,2022-02-26
Southern Miss.,Rice,72,77,2022-02-26
Youngstown St.,Northern Ky.,61,75,2022-02-26
Kent St.,Central Mich.,73,71,2022-02-26
Mercer,Wofford,67,74,2022-02-26
Pacific,LMU (CA),77,90,2022-02-26
Milwaukee,UIC,58,71,2022-02-26
Pepperdine,BYU,59,75,2022-02-26
Lamar University,Tarleton St.,49,57,2022-02-26
Arizona,Colorado,63,79,2022-02-26
CSUN,UC Davis,49,68,2022-02-26
A&M-Corpus Christi,Houston Baptist,75,70,2022-02-26
Valparaiso,Bradley,55,79,2022-02-26
South Dakota St.,Kansas City,86,75,2022-02-26
Kansas,Baylor,70,80,2022-02-26
South Dakota,Oral Roberts,92,87,2022-02-26
Idaho,Northern Colo.,94,98,2022-02-26
Sam Houston,Grand Canyon,41,67,2022-02-26
Omaha,St. Thomas (MN),74,95,2022-02-26
UC Santa Barbara,UC Riverside,97,90,2022-02-26
Nevada,Wyoming,61,74,2022-02-26
Creighton,Providence,51,72,2022-02-26
Jackson St.,Texas Southern,66,81,2022-02-26
Missouri,LSU,55,75,2022-02-26
UT Martin,Tennessee Tech,75,88,2022-02-26
Stanford,California,39,53,2022-02-26
Seattle U,Dixie St.,73,65,2022-02-26
UAB,UTEP,69,66,2022-02-26
Arizona St.,Utah,63,61,2022-02-26
Idaho St.,Portland St.,69,73,2022-02-26
Eastern Wash.,Sacramento St.,75,81,2022-02-26
Southern California,Oregon,70,69,2022-02-26
Boise St.,UNLV,86,76,2022-02-26
Gonzaga,Saint Marys (CA),57,67,2022-02-26
Colorado St.,Utah St.,66,55,2022-02-26
CSU Bakersfield,Hawaii,50,62,2022-02-27
Long Beach St.,UC Irvine,72,77,2022-02-27
Princeton,Harvard,74,73,2022-02-27
UConn,Georgetown,86,77,2022-02-27
SMU,Houston,61,75,2022-02-27
Canisius,Quinnipiac,72,67,2022-02-27
Iona,Rider,67,61,2022-02-27
Niagara,Saint Peters,36,63,2022-02-27
Monmouth,Siena,59,70,2022-02-27
Illinois,Michigan,93,85,2022-02-27
Fairfield,Manhattan,66,62,2022-02-27
Wichita St.,Memphis,57,81,2022-02-27
George Washington,George Mason,62,69,2022-02-27
Tulane,Temple,70,75,2022-02-27
Ohio St.,Maryland,60,75,2022-02-27
ETSU,UNC Greensboro,73,69,2022-02-27
Montana St.,Montana,74,80,2022-02-27
St. Johns (NY),DePaul,94,99,2022-02-27
Indiana,Minnesota,84,79,2022-02-27
Nebraska,Penn St.,93,70,2022-02-27
Col. of Charleston,Hofstra,84,89,2022-02-28
Central Conn. St.,Fairleigh Dickinson,67,66,2022-02-28
Syracuse,North Carolina,79,88,2022-02-28
Massachusetts,Fordham,73,85,2022-02-28
Delaware St.,Coppin St.,67,80,2022-02-28
N.C. Central,Norfolk St.,46,75,2022-02-28
South Carolina St.,Howard,62,72,2022-02-28
UMES,Morgan St.,48,82,2022-02-28
Northwestern,Iowa,61,82,2022-02-28
Alcorn,Texas Southern,75,72,2022-02-28
Bethune-Cookman,Grambling,69,63,2022-02-28
San Diego St.,Wyoming,73,66,2022-02-28
Florida A&M,Southern U.,51,58,2022-02-28
Baylor,Texas,68,61,2022-02-28
Jackson St.,Prairie View,59,53,2022-02-28
Kansas St.,Texas Tech,68,73,2022-02-28
New Mexico,Fresno St.,68,71,2022-02-28
UCLA,Washington,77,66,2022-02-28
Washington St.,Oregon St.,103,97,2022-02-28
Dayton,Richmond,55,53,2022-03-01
Providence,Villanova,74,76,2022-03-01
Tennessee,Georgia,75,68,2022-03-01
Western Mich.,Eastern Mich.,71,60,2022-03-01
American,Holy Cross,69,63,2022-03-01
Bucknell,Lafayette,82,81,2022-03-01
Robert Morris,Youngstown St.,77,73,2022-03-01
Akron,Ball St.,79,60,2022-03-01
Missouri,South Carolina,69,73,2022-03-01
New Hampshire,UMass Lowell,64,48,2022-03-01
Toledo,Buffalo,92,76,2022-03-01
Ole Miss,Kentucky,72,83,2022-03-01
Binghamton,UMBC,68,78,2022-03-01
Green Bay,Detroit Mercy,62,79,2022-03-01
West Virginia,Oklahoma,59,72,2022-03-01
Miami (OH),Central Mich.,75,61,2022-03-01
Ohio,Bowling Green,77,80,2022-03-01
NJIT,Stony Brook,68,87,2022-03-01
Hartford,Albany (NY),67,55,2022-03-01
Vermont,Maine,75,56,2022-03-01
Nebraska,Ohio St.,78,70,2022-03-01
Saint Peters,Manhattan,73,51,2022-03-01
North Ala.,FGCU,72,81,2022-03-01
Eastern Ky.,Kennesaw St.,73,82,2022-03-01
Stetson,Central Ark.,73,74,2022-03-01
UIC,Milwaukee,80,69,2022-03-01
IUPUI,Oakland,58,70,2022-03-01
Duke,Pittsburgh,86,56,2022-03-01
Kent St.,NIU,63,55,2022-03-01
Kansas,TCU,64,74,2022-03-01
North Florida,Lipscomb,65,74,2022-03-01
St. Bonaventure,VCU,51,74,2022-03-01
Michigan St.,Michigan,70,87,2022-03-01
Florida,Vanderbilt,82,78,2022-03-01
Southern Utah,Montana St.,53,69,2022-03-01
Purdue,Wisconsin,67,70,2022-03-01
San Jose St.,Air Force,54,58,2022-03-01
Nevada,Boise St.,67,73,2022-03-01
Cincinnati,Houston,53,71,2022-03-01
Louisville,Virginia Tech,43,75,2022-03-01
CSUN,UC Santa Barbara,61,70,2022-03-01
Arizona,Southern California,91,71,2022-03-01
N.C. A&T,Radford,78,71,2022-03-02
Charleston So.,UNC Asheville,79,78,2022-03-02
Hampton,High Point,77,84,2022-03-02
Xavier,St. Johns (NY),66,81,2022-03-02
SIUE,Tennessee St.,62,77,2022-03-02
Saint Louis,Rhode Island,80,74,2022-03-02
Central Conn. St.,Bryant,59,73,2022-03-02
Georgia Tech,Clemson,65,68,2022-03-02
Georgetown,Seton Hall,68,73,2022-03-02
Notre Dame,Florida St.,70,74,2022-03-02
Oklahoma St.,Iowa St.,53,36,2022-03-02
George Mason,Davidson,62,73,2022-03-02
Western Ky.,Marshall,86,72,2022-03-02
Saint Josephs,La Salle,48,49,2022-03-02
Texas A&M,Alabama,87,71,2022-03-02
Old Dominion,Louisiana Tech,54,67,2022-03-02
Fordham,Massachusetts,73,81,2022-03-02
Middle Tenn.,Charlotte,56,60,2022-03-02
Duquesne,George Washington,93,98,2022-03-02
Rutgers,Indiana,66,63,2022-03-02
St. Francis Brooklyn,Mount St. Marys,48,78,2022-03-02
Sacred Heart,LIU,75,82,2022-03-02
Saint Francis (PA),Wagner,53,82,2022-03-02
UAB,Southern Miss.,81,68,2022-03-02
Presbyterian,Campbell,72,75,2022-03-02
UTRGV,Lamar University,67,63,2022-03-02
Houston Baptist,New Orleans,74,75,2022-03-02
Nicholls,A&M-Corpus Christi,86,75,2022-03-02
UConn,Creighton,62,64,2022-03-02
LSU,Arkansas,76,77,2022-03-02
Minnesota,Maryland,73,84,2022-03-02
Auburn,Mississippi St.,81,68,2022-03-02
SFA,New Mexico St.,73,71,2022-03-02
Marquette,DePaul,80,91,2022-03-02
Wichita St.,Tulsa,72,62,2022-03-02
Miami (FL),Boston College,81,70,2022-03-02
NC State,Wake Forest,76,101,2022-03-02
Tennessee Tech,Austin Peay,78,51,2022-03-02
Chicago St.,California Baptist,53,62,2022-03-02
Wyoming,UNLV,57,64,2022-03-02
UT Arlington,Louisiana,64,67,2022-03-03
Little Rock,South Alabama,75,71,2022-03-03
UMass Lowell,Hartford,83,73,2022-03-03
ULM,Arkansas St.,77,81,2022-03-03
UIC,Purdue Fort Wayne,72,78,2022-03-03
Quinnipiac,Monmouth,72,75,2022-03-03
Siena,Niagara,52,74,2022-03-03
Indiana St.,Illinois St.,53,58,2022-03-03
Marist,Canisius,67,78,2022-03-03
Loyola Maryland,Boston U.,64,76,2022-03-03
Army West Point,Lehigh,77,91,2022-03-03
Temple,Houston,46,84,2022-03-03
Bucknell,Colgate,68,96,2022-03-03
American,Navy,64,71,2022-03-03
Oakland,Wright St.,63,75,2022-03-03
Detroit Mercy,Northern Ky.,59,77,2022-03-03
Fla. Atlantic,FIU,71,51,2022-03-03
Cincinnati,SMU,71,76,2022-03-03
Penn St.,Illinois,55,60,2022-03-03
Michigan St.,Ohio St.,69,80,2022-03-03
Iona,Manhattan,72,74,2022-03-03
Lipscomb,Liberty,47,52,2022-03-03
FGCU,Bellarmine,68,81,2022-03-03
Kennesaw St.,Jacksonville St.,67,78,2022-03-03
Central Ark.,Jacksonville,69,79,2022-03-03
South Carolina St.,N.C. Central,62,67,2022-03-03
Delaware St.,UMES,59,63,2022-03-03
Rider,Fairfield,59,65,2022-03-03
Howard,Norfolk St.,61,83,2022-03-03
Morgan St.,Coppin St.,63,59,2022-03-03
Tennessee St.,Southeast Mo. St.,55,79,2022-03-03
Ark.-Pine Bluff,Jackson St.,79,87,2022-03-03
Tarleton St.,Sam Houston,50,69,2022-03-03
UCF,Tulane,67,82,2022-03-03
California,Arizona St.,44,71,2022-03-03
Dixie St.,Abilene Christian,64,80,2022-03-03
Robert Morris,Cleveland St.,67,83,2022-03-03
North Texas,UTSA,59,48,2022-03-03
TCU,Kansas,68,72,2022-03-03
Mississippi Val.,Alcorn,69,72,2022-03-03
Ga. Southern,Coastal Carolina,70,64,2022-03-03
Grambling,Alabama A&M,63,71,2022-03-03
Iowa,Michigan,82,71,2022-03-03
Pacific,LMU (CA),66,86,2022-03-03
Southern U.,Alabama St.,67,77,2022-03-03
Southern Utah,Idaho St.,79,71,2022-03-03
Memphis,South Fla.,73,64,2022-03-03
Stanford,Arizona,69,81,2022-03-03
Northern Colo.,Montana,75,66,2022-03-03
Utah Valley,Grand Canyon,57,68,2022-03-03
Northern Ariz.,Eastern Wash.,62,69,2022-03-03
Portland St.,Idaho,79,68,2022-03-03
Rice,UTEP,67,70,2022-03-03
Sacramento St.,Montana St.,69,75,2022-03-03
Evansville,Valparaiso,59,81,2022-03-03
Oregon,Washington,67,78,2022-03-03
Hawaii,UC Santa Barbara,60,67,2022-03-03
Tennessee Tech,Morehead St.,56,73,2022-03-03
UC San Diego,CSU Bakersfield,72,70,2022-03-03
UC Davis,Long Beach St.,65,68,2022-03-03
UC Irvine,Cal Poly,54,65,2022-03-03
Fresno St.,San Diego St.,64,65,2022-03-03
UC Riverside,Cal St. Fullerton,75,72,2022-03-03
Pepperdine,San Diego,67,74,2022-03-03
Oregon St.,Washington St.,67,71,2022-03-03
N.C. A&T,Longwood,65,79,2022-03-04
Illinois St.,UNI,65,78,2022-03-04
Charleston So.,USC Upstate,62,72,2022-03-04
Bradley,Loyola Chicago,50,66,2022-03-04
The Citadel,ETSU,84,76,2022-03-04
Ball St.,Western Mich.,64,63,2022-03-04
High Point,Winthrop,51,68,2022-03-04
Bowling Green,Toledo,56,96,2022-03-04
Valparaiso,Missouri St.,58,67,2022-03-04
Southeast Mo. St.,Murray St.,74,88,2022-03-04
Richmond,St. Bonaventure,65,72,2022-03-04
Eastern Mich.,Miami (OH),63,76,2022-03-04
Central Mich.,Akron,56,57,2022-03-04
Buffalo,Kent St.,65,70,2022-03-04
Western Caro.,Mercer,53,81,2022-03-04
Ohio,NIU,57,58,2022-03-04
Campbell,Gardner-Webb,53,54,2022-03-04
LMU (CA),BYU,60,85,2022-03-04
Morehead St.,Belmont,53,51,2022-03-04
Southern Ill.,Drake,52,65,2022-03-04
Utah St.,San Jose St.,75,52,2022-03-04
San Diego,Portland,55,73,2022-03-04
Villanova,Butler,78,59,2022-03-05
Boston College,Georgia Tech,78,82,2022-03-05
USC Upstate,Longwood,70,79,2022-03-05
Arkansas,Tennessee,74,78,2022-03-05
Virginia,Louisville,71,61,2022-03-05
The Citadel,Chattanooga,66,71,2022-03-05
Alabama,LSU,77,80,2022-03-05
Davidson,Dayton,76,82,2022-03-05
Louisiana,Texas St.,79,72,2022-03-05
Fairfield,Saint Peters,41,57,2022-03-05
Miami (FL),Syracuse,75,72,2022-03-05
South Carolina,Auburn,71,82,2022-03-05
Quinnipiac,Iona,61,79,2022-03-05
Marist,Niagara,52,83,2022-03-05
Gardner-Webb,Winthrop,67,76,2022-03-05
George Washington,Fordham,66,70,2022-03-05
NC State,Florida St.,76,89,2022-03-05
Middle Tenn.,Old Dominion,64,68,2022-03-05
Indiana,Purdue,67,69,2022-03-05
FIU,Fla. Atlantic,76,84,2022-03-05
TCU,West Virginia,64,70,2022-03-05
La Salle,Duquesne,85,76,2022-03-05
Dartmouth,Harvard,76,54,2022-03-05
Kentucky,Florida,71,63,2022-03-05
Virginia Tech,Clemson,59,63,2022-03-05
Rhode Island,Saint Josephs,60,70,2022-03-05
Pittsburgh,Notre Dame,54,78,2022-03-05
VMI,Wofford,66,68,2022-03-05
Seton Hall,Creighton,65,60,2022-03-05
Little Rock,Troy,62,69,2022-03-05
North Texas,UTEP,68,70,2022-03-05
Marshall,Western Ky.,69,78,2022-03-05
Charlotte,Southern Miss.,70,67,2022-03-05
Rice,UTSA,71,82,2022-03-05
California Baptist,Lamar University,78,66,2022-03-05
Louisiana Tech,UAB,74,87,2022-03-05
Texas Tech,Oklahoma St.,51,52,2022-03-05
East Carolina,Wichita St.,62,70,2022-03-05
Stanford,Arizona St.,56,65,2022-03-05
Georgia,Missouri,69,79,2022-03-05
Loyola Chicago,UNI,66,43,2022-03-05
VCU,Saint Louis,65,69,2022-03-05
Siena,Canisius,64,67,2022-03-05
Bethune-Cookman,Florida A&M,73,84,2022-03-05
Cornell,Columbia,78,64,2022-03-05
UC Irvine,CSU Bakersfield,66,61,2022-03-05
Massachusetts,George Mason,83,80,2022-03-05
Southeastern La.,Northwestern St.,85,80,2022-03-05
Chicago St.,Seattle U,66,74,2022-03-05
Fresno St.,Wyoming,64,68,2022-03-05
Oklahoma,Kansas St.,78,71,2022-03-05
Oregon,Washington St.,74,94,2022-03-05
Monmouth,Rider,65,74,2022-03-05
Texas,Kansas,63,70,2022-03-05
New Orleans,Nicholls,85,92,2022-03-05
A&M-Corpus Christi,UIW,77,68,2022-03-05
Northeastern,William & Mary,68,63,2022-03-05
Portland St.,Eastern Wash.,75,83,2022-03-05
Northern Ariz.,Idaho,69,78,2022-03-05
California,Arizona,61,89,2022-03-05
Southern U.,Alabama A&M,50,49,2022-03-05
DePaul,UConn,68,75,2022-03-05
Grambling,Alabama St.,75,78,2022-03-05
Ark.-Pine Bluff,Alcorn,77,100,2022-03-05
Bellarmine,Liberty,53,50,2022-03-05
Northern Colo.,Montana St.,85,87,2022-03-05
Vanderbilt,Ole Miss,63,61,2022-03-05
Iowa St.,Baylor,68,75,2022-03-05
North Carolina,Duke,94,81,2022-03-05
Mount St. Marys,Bryant,69,70,2022-03-05
Arkansas St.,Georgia St.,62,65,2022-03-05
Mercer,Furman,66,80,2022-03-05
Princeton,Penn,93,70,2022-03-05
Drake,Missouri St.,79,78,2022-03-05
Mississippi Val.,Jackson St.,69,76,2022-03-05
Omaha,South Dakota St.,79,87,2022-03-05
Georgetown,Xavier,75,97,2022-03-05
UC Riverside,Long Beach St.,72,73,2022-03-05
Brown,Yale,65,74,2022-03-05
Jacksonville,Jacksonville St.,54,51,2022-03-05
Tarleton St.,Abilene Christian,56,61,2022-03-05
Oregon St.,Washington,67,78,2022-03-05
Dixie St.,Grand Canyon,53,70,2022-03-05
Southern Utah,Weber St.,80,70,2022-03-05
SFA,UTRGV,93,63,2022-03-05
McNeese,Houston Baptist,144,149,2022-03-05
LIU,Wagner,62,82,2022-03-05
Ga. Southern,App State,60,73,2022-03-05
UNC Greensboro,Samford,64,66,2022-03-05
Mississippi St.,Texas A&M,64,67,2022-03-05
Morehead St.,Murray St.,67,71,2022-03-05
Boise St.,Colorado St.,68,71,2022-03-05
Prairie View,Texas Southern,77,78,2022-03-05
UC Davis,Cal St. Fullerton,59,62,2022-03-05
Utah Valley,New Mexico St.,46,62,2022-03-05
Sacramento St.,Montana,72,71,2022-03-05
St. Johns (NY),Marquette,77,85,2022-03-05
Colorado,Utah,84,71,2022-03-05
Denver,North Dakota St.,62,82,2022-03-05
Hawaii,CSUN,84,62,2022-03-05
Southern California,UCLA,68,75,2022-03-05
UC San Diego,Cal Poly,76,80,2022-03-05
BYU,San Francisco,63,75,2022-03-05
San Diego St.,Nevada,79,78,2022-03-05
UNLV,New Mexico,67,76,2022-03-05
Portland,Santa Clara,67,91,2022-03-06
Houston,Memphis,61,75,2022-03-06
Northeastern,Towson,61,68,2022-03-06
Winthrop,Longwood,58,79,2022-03-06
Penn St.,Rutgers,58,59,2022-03-06
Michigan,Ohio St.,75,69,2022-03-06
UMass Lowell,UMBC,85,93,2022-03-06
Binghamton,New Hampshire,72,69,2022-03-06
NJIT,Vermont,59,98,2022-03-06
UAlbany,Hartford,49,61,2022-03-06
Loyola Chicago,Drake,64,58,2022-03-06
Lehigh,Colgate,61,81,2022-03-06
South Fla.,Temple,47,75,2022-03-06
UCF,Tulsa,72,73,2022-03-06
Nebraska,Wisconsin,74,73,2022-03-06
Delaware,Drexel,66,56,2022-03-06
Tulane,SMU,68,74,2022-03-06
Boston U.,Navy,80,85,2022-03-06
Wofford,Chattanooga,56,79,2022-03-06
Maryland,Michigan St.,67,77,2022-03-06
Elon,UNCW,58,75,2022-03-06
Louisiana,Troy,66,57,2022-03-06
Samford,Furman,68,71,2022-03-06
South Dakota,Kansas City,74,61,2022-03-06
Minnesota,Northwestern,62,75,2022-03-06
Iowa,Illinois,72,74,2022-03-06
Col. of Charleston,Hofstra,92,76,2022-03-06
Georgia St.,App State,71,66,2022-03-06
Western Ill.,Oral Roberts,68,80,2022-03-06
Delaware,Towson,69,56,2022-03-07
South Dakota,South Dakota St.,60,83,2022-03-07
Furman,Chattanooga,63,64,2022-03-07
Louisiana,Georgia St.,71,80,2022-03-07
Wright St.,Cleveland St.,82,67,2022-03-07
Col. of Charleston,UNCW,57,60,2022-03-07
San Francisco,Gonzaga,71,81,2022-03-07
Oral Roberts,North Dakota St.,72,92,2022-03-07
Northern Ky.,Purdue Fort Wayne,57,43,2022-03-07
Santa Clara,Saint Marys (CA),72,75,2022-03-07
Boston College,Pittsburgh,66,46,2022-03-08
NC State,Clemson,64,70,2022-03-08
Rider,Manhattan,79,67,2022-03-08
Jacksonville,Bellarmine,72,77,2022-03-08
Wagner,Bryant,43,70,2022-03-08
Canisius,Fairfield,50,72,2022-03-08
Georgia Tech,Louisville,74,84,2022-03-08
Wright St.,Northern Ky.,72,71,2022-03-08
Delaware,UNCW,59,55,2022-03-08
Marshall,FIU,74,62,2022-03-08
Southern Miss.,UTSA,67,64,2022-03-08
Quinnipiac,Marist,77,52,2022-03-08
CSU Bakersfield,CSUN,58,45,2022-03-08
UTRGV,California Baptist,80,81,2022-03-08
North Dakota St.,South Dakota St.,69,75,2022-03-08
Saint Marys (CA),Gonzaga,69,82,2022-03-08
Cal Poly,UC Davis,53,63,2022-03-08
Chicago St.,Utah Valley,47,69,2022-03-08
Idaho,Sacramento St.,54,57,2022-03-09
Syracuse,Florida St.,96,57,2022-03-09
Saint Josephs,La Salle,56,63,2022-03-09
New Mexico,Nevada,72,79,2022-03-09
Idaho St.,Portland St.,52,66,2022-03-09
Boston College,Wake Forest,82,77,2022-03-09
